term_str,PC0,PC1,PC2,PC3,PC4
999th,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
a,-0.0,0.0,0.0,0.0,0.0
aa,-2.8212136044024255e-05,-4.987069624642065e-05,-6.290824142742622e-05,-5.183244459507455e-05,-1.4056624350332128e-05
aaa,-7.195006337380369e-06,-1.2793840901311246e-05,-1.6387899107835544e-05,-1.6466445877440998e-05,1.1400043788932677e-06
aah,-7.568240327884655e-06,-1.3095565478678627e-05,-1.612669439406123e-05,-1.597440397537854e-05,4.060482846244693e-06
abandon,-9.742669997188274e-06,-1.6705855252898003e-05,-2.2123885747094754e-05,-1.6184824740197854e-05,1.185507907137919e-06
abandoned,-1.82612606640007e-05,-3.47744003471928e-05,2.1478955152667584e-05,-4.483251955165692e-05,0.0001717292517812532
abandoning,-7.195006337380369e-06,-1.2793840901311246e-05,-1.6387899107835544e-05,-1.6466445877440998e-05,1.1400043788932677e-06
abe,-3.102422673138937e-05,-5.419783630208536e-05,-7.32709197657902e-05,-8.652624148850875e-05,-9.719286170987057e-05
abekun,-2.459443931679762e-05,-4.153336115854492e-05,-4.890960230142851e-05,-3.879671262031485e-05,4.59779606860112e-06
abilities,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
ability,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
able,-3.5245438732355606e-05,1.619764267817913e-05,-1.3326511380717844e-05,-3.4319113293240117e-06,-3.5515542696235815e-06
aboard,-2.0461527189700792e-05,-3.593479119372144e-05,-5.25710091658796e-05,-4.7064163883619744e-05,-4.801616620267032e-05
abolish,-6.148609829199116e-06,-1.0383340289635737e-05,-1.2227400575356544e-05,-9.699178155078256e-06,1.1494490171502262e-06
about,-0.0,0.0,0.0,0.0,0.0
above,-3.997980243919442e-05,6.767578787908331e-05,-2.2538512825440425e-05,3.59678417073929e-05,-1.0327790691134784e-05
abrupt,-6.148609829199116e-06,-1.0383340289635737e-05,-1.2227400575356544e-05,-9.699178155078256e-06,1.1494490171502262e-06
absence,-1.3281684810868789e-05,-2.6639097290787467e-05,6.460132325708633e-05,5.027322949110204e-07,-5.2183310554959e-05
absolutely,-1.8848565856768028e-05,-3.5718227402511534e-05,8.081927390792027e-06,0.00013653005329341042,-7.544954248995847e-06
absorb,-1.0006466484858586e-05,-1.736539393631962e-05,-2.2104281973795093e-05,-1.8924368314183023e-05,-1.5282830491241137e-06
absorbed,-1.474628421054502e-05,-2.5120610145347e-05,-3.365104124018695e-05,-2.4601403307155664e-05,-2.7132393685338588e-05
absorbs,-5.642427208804352e-06,-9.974139249283243e-06,-1.2581648285484126e-05,-1.036648891901398e-05,-2.8113248700661777e-06
absurd,-5.642427208804352e-06,-9.974139249283243e-06,-1.2581648285484126e-05,-1.036648891901398e-05,-2.8113248700661777e-06
